id,width,height,ionizationclass,FluxCompensation,pressure,karma,modulation,configuration_log_ID,weight_in_kg,weight_in_g,error,error_type,Quality,reflectionScore,distortion,nicesness,smartness,multideminsionality,roughness
1,97.4191689429334,141.631089481838,C,IV,103.937206964033,976.538992554311,98.3094375023476,1,1344159.803895,1344159803.895,yes,severe,93.562820731809,759.335062946947,50.4740286927213,99.5547705221293,21057.4113174778,no,120.537644422705
2,58.7060365720782,128.097653564761,A,II,101.177876896332,1031.8068263046,102.748067906475,2,442485.753106128,442485753.106128,no,None,98.612636663233,701.99002755422,51.1478327827854,57.9308899447629,17408.296966244,no,113.332046247173
3,77.2625682267468,127.105441992558,A,III,99.3819560672096,840.24666821469,99.4513538461117,3,759766.111314206,759766111.314206,no,None,99.0234577632845,703.990252958494,44.0531956124615,77.5355615529341,17157.9927544151,yes,137.472488166726
4,82.6572520992208,126.011542169319,A,I,101.833663779454,964.391122452487,101.022948124063,4,861947.938272227,861947938.272227,no,None,96.6246948351491,700.250910621936,52.1140184056144,82.0308169885105,16880.1253300096,no,125.718698101764
5,78.08536646282,137.092425635823,C,I,95.2463042652018,859.331870406817,97.6985028830994,5,835907.37031957,835907370.31957,yes,critical,95.1699355417582,691.495318420335,47.1855916203127,77.7002946314593,19795.9822167884,no,134.821655769443
6,67.8775096781703,113.773527266784,B,I,106.082178979772,1011.50462649933,104.460272260722,6,524206.098731429,524206098.731429,no,None,93.5144056148035,681.496738866672,53.3673945825167,65.4368811530884,13942.8378245862,no,111.211475425652
7,100.230439948779,137.717844545979,A,III,98.4984258440514,1007.29146208589,98.2407244520132,7,1384544.77237425,1384544772.37425,no,None,98.0926251260018,717.254321294044,52.7555764652965,100.077659975037,19964.7124717855,no,126.15840120972
8,68.1068192317381,117.120258117339,A,III,101.731097971828,906.123497524092,92.1887615692573,8,544277.840781566,544277840.781566,no,None,97.3808151687064,774.321894718926,50.3590964641851,64.6833687429198,14716.491222491,no,107.092117388755
9,110.368474277541,138.915758809994,B,II,104.159571881251,999.234359064464,96.7936832526188,9,1692169.80357086,1692169803.57086,yes,severe,95.2207118539779,740.26503867675,48.6169611141446,112.300246812812,20297.2754788718,yes,130.477592687254
10,68.7457180189516,128.221665684541,B,III,98.7646291613065,1177.18896974809,104.664262368047,10,605982.370347711,605982370.347711,yes,severe,98.5043879870594,707.589274453487,49.7906079304821,66.8558266421077,17442.4854761578,no,128.17045008608
11,96.0973930844697,147.044046835843,B,III,101.99470255797,1050.03612026714,97.3769916008637,11,1357919.42750612,1357919427.50612,no,None,97.0130581331431,697.182884931929,50.939267090255,96.4353064233277,22624.5369351206,no,136.336004711264
12,115.732907854022,117.134938853775,C,II,98.8816981620711,1037.42771366374,99.3056594294127,12,1568928.78246222,1568928782.46222,yes,minor,98.2340181200952,716.770618716925,47.1651808698283,120.275182936979,14718.9356284277,no,132.69764660169
13,42.2227859777532,125.044384314861,C,I,103.371748268617,1168.67416759308,100.720877893645,13,222934.808415226,222934808.415226,yes,critical,96.1185456773337,717.640269722071,46.7174332775111,43.6533981334783,16637.9339544007,yes,136.290847762842
14,64.4242246636526,132.152754405007,A,IV,98.8331791239538,1004.10140553055,100.495036945094,14,549507.142441807,549507142.441807,no,None,97.9990717884614,734.711018563381,48.8882494573637,64.6600913174185,18463.7429356888,no,124.633248690333
15,67.3335732721268,132.900738682433,A,I,90.0873249151748,1149.19250231255,100.608387654611,15,603557.010907068,603557010.907068,no,None,90.0562143122828,699.530957966899,54.3955806813632,69.2638757388932,18661.4995701794,no,124.848566238077
16,82.7190079614015,115.756792456661,C,IV,102.876274095388,1131.83407703771,100.731406087741,16,792068.495682425,792068495.682425,yes,critical,97.111439371268,727.763978251938,50.0112794550622,84.3859054763887,14398.2059703294,no,151.145128976116
17,64.3149415716786,129.133939167323,A,III,102.849737026775,1104.73223320928,99.9223708287107,17,535162.22119416,535162221.19416,no,None,96.9850220226969,644.558929050189,47.0664423387465,65.5724657403949,17677.9787634237,no,117.165223403486
18,43.1291084180955,114.518430860174,B,II,103.996507890224,1131.85329407685,100.984027803283,18,213027.224841844,213027224.841844,no,None,94.6808879596852,664.42952789743,48.5655599546135,47.0649599080034,14112.2489233915,no,148.514906818343
19,38.8093385715104,135.430920317326,A,I,100.393946022616,951.874168071325,100.073596428547,19,204989.778794083,204989778.794083,no,None,99.3741472814017,693.476199140585,47.2404721405256,40.2051498786355,19343.8224523342,yes,119.101862186043
20,96.4022669146038,124.883881456089,B,I,101.013475120844,1023.18627524585,96.7294985415616,20,1160607.20500671,1160607205.00671,yes,severe,98.7167664901341,694.756716590718,50.9058712089075,95.8651985883281,16596.0237872452,yes,119.058501601489
21,63.8672281184305,133.640904778515,A,III,103.111909917397,1037.73477416441,97.77546550486,21,546133.948936421,546133948.936421,yes,severe,95.952922773283,661.927076230519,48.5739873207166,62.6160822903465,18863.1787542755,no,129.565822998241
22,34.3738313204,141.092735625277,C,I,98.590021895312,1174.13370468921,104.184039619814,22,166718.055447563,166718055.447563,yes,critical,98.1542137777854,712.888545524523,49.4668168211901,35.6597367574205,20902.8186434965,no,131.927915525841
23,66.5616528848076,131.78637213208,B,I,100.181988370013,875.100661073472,98.0760798902867,23,583885.991651566,583885991.651567,no,None,98.3136608438271,683.965309340826,48.5530929063027,66.410901246529,18363.0368956172,no,141.909629460659
24,94.293493983452,138.098936942261,A,IV,100.660544782225,958.974340561646,100.776849479205,24,1228884.51091892,1228884510.91892,no,None,99.0624955612689,724.64225661864,50.9581107181438,97.5580344143742,20070.0947783874,no,124.995238114545
25,107.903869225299,129.053726266102,B,I,99.6283049415357,1024.25974926341,97.1262597670563,25,1502614.70119941,1502614701.19941,yes,severe,99.4571746987842,724.127213123914,50.6171539686439,108.642257838685,17654.2116799858,yes,131.308580725895
26,61.390617367876,130.357479028922,A,II,99.8439696001411,887.791691523584,103.342987467476,26,492302.619583648,492302619.583648,no,None,98.9267864728942,684.060005809217,49.7358502183966,60.9711631054093,17992.6256757444,no,109.203643539328
27,64.8546123446214,135.604625370399,A,III,98.2418697792233,1007.24812388187,101.258595266719,27,571380.997353779,571380997.353779,no,None,96.8006194199301,719.05395351536,54.4804638845285,63.8407415017447,19391.4040037015,no,114.20541027553
28,34.7367382961044,130.313939340938,B,IV,104.758371780645,1030.28833616104,100.783019504853,28,157251.526081221,157251526.081221,yes,severe,94.5525509508867,678.736046201732,50.5288909162289,34.6769811219426,17984.7655165871,yes,130.689919801706
29,79.2019470966254,126.76339187265,A,II,99.6035914260458,1047.73593036011,97.6980280328182,29,796189.900056449,796189900.056449,no,None,99.5182488034719,699.845131145559,49.1948739467125,78.6303088029859,17070.814555375,no,136.080237335689
30,57.2001024807976,119.868894176397,C,IV,98.8005020387665,860.994449312162,97.2304564212457,30,392203.475615152,392203475.615152,yes,critical,97.7108390541696,713.341906919472,48.6423961372218,56.6647561042365,15368.5694558746,no,131.609674088707
31,79.1090024648244,140.001666221938,A,III,101.593592013554,878.721214997526,104.603564282222,31,877173.114813878,877173114.813878,no,None,97.2766630925683,673.786540876895,50.678065069074,81.4588267191232,20602.3811496041,no,128.676665083257
32,84.0967467445764,149.740532602938,B,IV,98.6280241338587,953.087937861725,106.262517258499,32,1059012.79403593,1059012794.03593,yes,critical,97.8837436386811,728.357946856973,48.4445589860996,84.7017212206785,23422.7485197655,yes,143.23392377312
33,90.7020704393985,139.587209039101,B,I,96.734143329616,932.473504048688,100.145912637326,33,1148375.24238817,1148375242.38817,yes,minor,95.7337666690113,693.528379066397,49.6467745790271,89.6503074011348,20484.8439876645,no,125.620262346651
34,57.8214724918558,140.425967208087,C,I,100.949110497294,976.017821613142,99.1450072153365,34,469500.775454967,469500775.454967,yes,severe,98.6615690874002,684.550904171101,50.5374677280594,59.0594424472922,20717.7030367959,no,155.670473341713
35,80.0991024659594,123.812575912708,A,I,100.338884736284,1105.46610596007,100.781994119602,35,795374.950461586,795374950.461586,no,None,98.9020218656544,729.772060951728,52.5321750446638,81.2371541565384,16330.5629883529,yes,131.195151479612
36,35.6598264185332,131.115334149752,B,III,97.9923983869301,932.750883153554,98.6587901596774,36,166738.272806996,166738272.806996,yes,severe,96.6362395722414,651.75993906487,44.9309423440087,36.8629022966512,18183.7486157253,no,127.064910021507
37,54.3108198324101,131.046635264563,B,III,100.24036296389,1052.06873577708,98.2584310684734,37,386553.396986418,386553396.986418,yes,minor,98.904528383365,682.344408527089,52.5942882527242,54.8725875101731,18170.8848292169,no,138.275600013998
38,52.9818481164696,135.985064935149,A,III,99.0491505083921,980.919466779447,100.382690623843,38,382728.609653595,382728609.653595,no,None,97.7111245097358,710.651777519318,49.8744077204395,53.4404994730909,19493.9862864799,yes,128.811168561871
39,38.2841529989326,126.846969589552,C,I,97.1495847528968,841.844309983347,107.157219774674,39,185925.535526045,185925535.526045,yes,critical,96.8146504423923,683.368609872753,46.9393927449104,40.3986714766746,17090.5412940968,no,117.740016565136
40,70.7224521378451,122.000844427547,A,I,94.6103717190816,937.394693569867,101.585043497815,40,611219.203544622,611219203.544622,no,None,94.2028718291299,705.0801189223,49.6391842025228,69.5053994167898,15887.5391829134,yes,117.584961840092
